22.636,64.598,13,6,85
410.38,89.578,27,3,86
408.99,86.607,19,4,86
408.61,88.092,34,5,86
420.03,66.364,8,3,87
419.49,58.394,10,4,87
422.71,66.511,16,5,87
107.72,75.008,7,3,88
108.37,75.748,8,4,88
103.81,74.327,6,5,88
237,12,3,3,89
240.78,11.449,9,4,89
237.99,11.842,6,5,89
402.21,94.509,10,3,90
403.23,93.758,21,4,90
400.52,93.488,6,5,90
280.24,66.185,37,3,91
280.32,64.972,54,4,91
279.88,64.316,35,5,91
275.46,79.255,89,3,92
275.3,79.249,88,4,92
275.44,78.679,82,5,92
28.915,96.542,18,3,93
27.056,95.875,12,4,93
25.494,94.995,10,5,93
